"BU_NAME","IMPEXP_TYPR","CONTAINER_NUM","SHIPPING_LINE_OPERATOR","VESSEL","VOYAGE_NUM","ARRIVAL_DATE","DEPARTURE_DATE","ORIGIN_COUNTRY","PORT_OF_LANDING","DESTINATION_COUNTRY","PORT_OF_UNLADING","TEU","GOODS_VALUE_USD","NOTIFIER_NAME","CONSIGNEE_NAME","SHIPPER_NAME","ITEM_DESCRIPTION","BL_NO"
"NEPTUNIA","Import","FSCU9154120","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
"NEPTUNIA","Import","FCIU9111216","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
"NEPTUNIA","Import","FCIU8726031","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
"NEPTUNIA","Import","FCIU4334310","MEDITERRANEAN SHIPPING COMPANY","MSC LAUREN","924A","20190720","20190721","","Tianjinxingang , China","","Callao , Peru",1,"","","","","CHLOROPRENE RUBBER SN244X-4 MADE IN CHINA","MEDUTN492672"
"NEPTUNIA","Import","DFSU4341056","MEDITERRANEAN SHIPPING COMPANY","MSC LAUREN","924A","20190720","20190721","","Tianjinxingang , China","","Callao , Peru",2,"","","","","","MEDUTN444582"
"NEPTUNIA","Import","CAIU8002357","HAPAG LLOYD CORPORATION","MSC LAUREN","924A","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","OPP FILM S.A.","","500 MT OF HOMOPOLYMERBOPP PPH-F03DPACKING EXPORT WORTHYBAGS PALLETIZED  INTO CONTAINERSOF 20 O","HLCUSHA1906JKWJ8"
"NEPTUNIA","Import","MRKU2404509","MAERSK SHIPPING LINE","CHARLOTTE MAERSK","928W","20190714","20190715","","Tianjinxingang , China","","Callao , Peru",2,"","","","","","MAEU969013824"
"NEPTUNIA","Import","MRKU2271617","MAERSK SHIPPING LINE","CHARLOTTE MAERSK","928W","20190714","20190715","","Tianjinxingang , China","","Callao , Peru",2,"","","","","","MAEU969013824"
"NEPTUNIA","Import","DFSU6911707","EVERGREEN","E.R. TEXAS","016E","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","","","","EGLV153907004846"
"NEPTUNIA","Import","EITU1176180","EVERGREEN","E.R. TEXAS","016E","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","","","","EGLV153907004129"
"NEPTUNIA","Import","TEMU6041492","EVERGREEN","E.R. TEXAS","016E","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","","","","EGLV153907004846"
"NEPTUNIA","Import","TCNU3846343","EVERGREEN","E.R. TEXAS","016E","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","","","","EGLV153907004846"
"NEPTUNIA","Import","BMOU5458894","EVERGREEN","E.R. TEXAS","016E","20190720","20190721","","Shanghai , China","","Callao , Peru",2,"","","","","","EGLV153907004722"
