"BU_NAME","IMPEXP_TYPR","CONTAINER_NUM","SHIPPING_LINE_OPERATOR","VESSEL","VOYAGE_NUM","ARRIVAL_DATE","DEPARTURE_DATE","ORIGIN_COUNTRY","PORT_OF_LANDING","DESTINATION_COUNTRY","PORT_OF_UNLADING","TEU","GOODS_VALUE_USD","NOTIFIER_NAME","CONSIGNEE_NAME","SHIPPER_NAME","ITEM_DESCRIPTION","BL_NO"
"NEPTUNIA","Export","BMOU4488723","PACIFIC INTERNATIONAL LINE","ROTTERDAM","W008","20190831","20190831","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU1371222","PACIFIC INTERNATIONAL LINE","LLOYD DON GIOVANNI","007W","20190918","20190919","","Callao , Peru","","Yantian , China",1,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8536704","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","TCKU1703550","PACIFIC INTERNATIONAL LINE","EVER LIVELY","037W","20190904","20190905","","Callao , Peru","","Yantian , China",1,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","TGHU9674578","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU4581388","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shanghai , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8749192","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8291200","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9444942","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU1322296","PACIFIC INTERNATIONAL LINE","MEDITERRANEAN BRIDGE","006W","20190911","20190912","","Callao , Peru","","Yantian , China",1,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU4588850","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shanghai , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","UACU3671165","HAPAG LLOYD CORPORATION","MSC SHUBA B","936R","20190918","20190919","","Callao , Peru","","Shanghai , China",1,"","","","INKABOR S.A.C.","ACIDO BORICO TQ",""
"NEPTUNIA","Export","FCIU6303175","HAPAG LLOYD CORPORATION","MSC SHUBA B","936R","20190918","20190919","","Callao , Peru","","Shanghai , China",1,"","","","INKABOR S.A.C.","ACIDO BORICO TQ",""
"NEPTUNIA","Export","PCIU8558508","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","TCKU1653802","HAPAG LLOYD CORPORATION","MSC SHUBA B","936R","20190918","20190919","","Callao , Peru","","Shanghai , China",1,"","","","INKABOR S.A.C.","ACIDO BORICO TQ",""
"NEPTUNIA","Export","TGHU1491903","HAPAG LLOYD CORPORATION","MSC SHUBA B","936R","20190918","20190919","","Callao , Peru","","Shanghai , China",1,"","","","INKABOR S.A.C.","ACIDO BORICO TQ",""
"NEPTUNIA","Export","GLDU9610129","PACIFIC INTERNATIONAL LINE","MEDITERRANEAN BRIDGE","006W","20190911","20190912","","Callao , Peru","","Yantian , China",1,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
