BU_NAME	IMPEXP_TYPR	CONTAINER_NUM	SHIPPING_LINE_OPERATOR	VESSEL	VOYAGE_NUM	ARRIVAL_DATE	DEPARTURE_DATE	ORIGIN_COUNTRY	PORT_OF_LANDING	DESTINATION_COUNTRY	PORT_OF_UNLADING	TEU	GOODS_VALUE_USD	NOTIFIER_NAME	CONSIGNEE_NAME	SHIPPER_NAME	ITEM_DESCRIPTION	BL_NO
NEPTUNIA	Export	MSCU3482767	MEDITERRANEAN SHIPPING COMPANY	MSC EARTH	936R	20190917	20190918		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALIMENTOS EN CONSERVA	
NEPTUNIA	Export	CAIU6929875	MEDITERRANEAN SHIPPING COMPANY	MSC EARTH	936R	20190917	20190918		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALIMENTOS EN CONSERVA	
NEPTUNIA	Export	TCLU2634620	MEDITERRANEAN SHIPPING COMPANY	MSC EARTH	936R	20190917	20190918		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	PIMIENTO PIQUILLO	
NEPTUNIA	Export	MEDU5831170	MEDITERRANEAN SHIPPING COMPANY	MSC EARTH	936R	20190917	20190918		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	PIMIENTO PIQUILLO	
NEPTUNIA	Export	MEDU6763574	MEDITERRANEAN SHIPPING COMPANY	MSC BIANCA	NX938R	20190925	20190926		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ESPARRAGO VERDE	
NEPTUNIA	Export	CLHU8978400	HAPAG LLOYD CORPORATION	MSC EARTH	FA930A	20190831	20190901		Callao , Peru		Carnota , Spain	2				HapagLloyd Peru S.A.C.	CONTENEDOR VACIO	
NEPTUNIA	Export	TEMU4400818	MEDITERRANEAN SHIPPING COMPANY	MSC ROMANE	933R	20190820	20190821		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	ALIMENTOS EN CONSERVA	
NEPTUNIA	Export	HLXU6567164	HAPAG LLOYD CORPORATION	MSC EARTH	FA930A	20190831	20190901		Callao , Peru		Carnota , Spain	2				HapagLloyd Peru S.A.C.	CONTENEDOR VACIO	
NEPTUNIA	Export	APZU2114357	CMA-CGM	GUAYAQUIL EXPRESS	9128N	20190819	20190820		Callao , Peru		Bilbao , Spain	1				INDUSTRIAS ELECTRO QUIMICAS S A	BOLAS Y PLACAS LAMINADAS DE ZINC	
NEPTUNIA	Export	TRHU2653636	CMA-CGM	SANTOS EXPRESS	9126N	20190805	20190806		Callao , Peru		Bilbao , Spain	1				DANPER TRUJILLO S.A.C.	CONSERVAS	
